timestamp,src_ip,dst_ip,protocol,src_port,dst_port,duration,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,syn_flag_count,ack_flag_count,fin_flag_count,rst_flag_count,psh_flag_count,urg_flag_count,ttl,tcp_window_size,fragmented,retransmission_count
2026-08-28 14:00:00.000,10.0.5.1,10.0.0.50,TCP,30000,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.080,10.0.5.2,10.0.0.50,TCP,30001,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.160,10.0.5.3,10.0.0.50,TCP,30002,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.240,10.0.5.4,10.0.0.50,TCP,30003,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.320,10.0.5.5,10.0.0.50,TCP,30004,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.400,10.0.5.6,10.0.0.50,TCP,30005,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.480,10.0.5.7,10.0.0.50,TCP,30006,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.560,10.0.5.8,10.0.0.50,TCP,30007,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.640,10.0.5.9,10.0.0.50,TCP,30008,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.720,10.0.5.10,10.0.0.50,TCP,30009,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.800,10.0.5.11,10.0.0.50,TCP,30010,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.880,10.0.5.12,10.0.0.50,TCP,30011,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:00.960,10.0.5.13,10.0.0.50,TCP,30012,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:01.040,10.0.5.14,10.0.0.50,TCP,30013,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
2026-08-28 14:00:01.120,10.0.5.15,10.0.0.50,TCP,30014,80,0.20059192180633545,87,37,8,2,5,82,0,0,0,0,160,78469,0,4
